Name	Start	Duration	Time Format	Type	Description
First Chapter	1:35.813	0:00.000	decimal	Cue	
Second Chapter	6:27.253	0:00.000	decimal	Cue	
Third Chapter	15:54.293	0:00.000	decimal	Cue	
Fourth Chapter	41:00.360	0:00.000	decimal	Cue	
Fifth Chapter	44:02.933	0:00.000	decimal	Cue	
Sixth Chapter	48:08.813	0:00.000	decimal	Cue	
Seventh Chapter	55:14.573	0:00.000	decimal	Cue	
Eight Chapter	59:26.973	0:00.000	decimal	Cue	
Ninth Chapter	1:08:02.786	0:00.000	decimal	Cue	
Tenth Chapter	1:14:17.146	0:00.000	decimal	Cue	
Eleventh Chapter	1:19:17.266	0:00.000	decimal	Cue	
Twelfth Chapter	1:27:33.586	0:00.000	decimal	Cue	
Thirteen Chapter	1:34:29.826	0:00.000	decimal	Cue	
Fourteenth Chapter	1:43:29.173	0:00.000	decimal	Cue	
Fifteenth Chapter	1:54:06.213	0:00.000	decimal	Cue	
Sixteenth Chapter	1:57:57.933	0:00.000	decimal	Cue	
Seventeenth Chapter	2:00:07.573	0:00.000	decimal	Cue	
Eighteenth Chapter	2:12:43.280	0:00.000	decimal	Cue	
Nineteenth Chapter	2:19:19.826	0:00.000	decimal	Cue	
